District,HASC
Yamuna Nagar,IN.HR.YN
Yanam,IN.PY.YA
Yavatmal,IN.MH.YA
Zunheboto,IN.NL.ZU
Adilabad,IN.AP.AD
Agra,IN.UP.AG
Ahmedabad,IN.GJ.AH
Ahmednagar,IN.MH.AH
Aizawl,IN.MZ.AI
Ajmer,IN.RJ.AJ
Akola,IN.MH.AK
Alappuzha,IN.KL.AL
Aligarh,IN.UP.AL
Allahabad,IN.UP.AH
Almora,IN.UT.AL
Alwar,IN.RJ.AL
Ambala,IN.HR.AM
Ambedkar Nagar,IN.UP.AN
Amravati,IN.MH.AM
Amreli,IN.GJ.AM
Amritsar,IN.PB.AM
Anand,IN.GJ.AN
Anantapur,IN.AP.AN
Anantnag,IN.JK.AN
Andaman Islands,IN.AN.AN
Angul,IN.OR.AN
Araria,IN.BR.AR
Ariyalur,IN.TN.AR
Auraiya,IN.UP.AU
Aurangabad,IN.BR.AU
Aurangabad,IN.MH.AU
Azamgarh,IN.UP.AZ
Badaun,IN.UP.BD
Badgam,IN.JK.BD
Bagalkot,IN.KA.BK
Bageshwar,IN.UT.BA
Baghpat,IN.UP.BG
Bahraich,IN.UP.BH
Balaghat,IN.MP.BL
Baleshwar,IN.OR.BW
Ballia,IN.UP.BL
Balrampur,IN.UP.BP
Banas Kantha,IN.GJ.BK
Banda,IN.UP.BN
Bangalore,IN.KA.BN
Bangalore Rural,IN.KA.BR
Banka,IN.BR.BA
Bankura,IN.WB.BN
Banswara,IN.RJ.BN
Barabanki,IN.UP.BB
Baragarh,IN.OR.BR
Baramula,IN.JK.BR
Baran,IN.RJ.BR
Bardhaman,IN.WB.BR
Bareilly,IN.UP.BR
Barmer,IN.RJ.BM
Barpeta,IN.AS.BA
Barwani,IN.MP.BR
Bastar,IN.CT.BA
Basti,IN.UP.BS
Bathinda,IN.PB.BA
Begusarai,IN.BR.BE
Belgaum,IN.KA.BG
Bellary,IN.KA.BL
Betul,IN.MP.BE
Bhadrak,IN.OR.BH
Bhagalpur,IN.BR.BG
Bhandara,IN.MH.BH
Bharatpur,IN.RJ.BP
Bharuch,IN.GJ.BR
Bhavnagar,IN.GJ.BV
Bhilwara,IN.RJ.BW
Bhind,IN.MP.BD
Bhiwani,IN.HR.BH
Bhojpur,IN.BR.BJ
Bhopal,IN.MP.BP
Bid,IN.MH.BI
Bidar,IN.KA.BD
Bijapur,IN.KA.BJ
Bijnor,IN.UP.BI
Bikaner,IN.RJ.BI
Bilaspur,IN.CT.BI
Bilaspur,IN.HP.BI
Birbhum,IN.WB.BI
Bishnupur,IN.MN.BI
Bokaro,IN.JH.BO
Bolangir,IN.OR.BL
Bongaigaon,IN.AS.BO
Boudh,IN.OR.BD
Bulandshahr,IN.UP.BU
Buldhana,IN.MH.BU
Bundi,IN.RJ.BU
Buxar,IN.BR.BU
Cachar,IN.AS.CA
Chamba,IN.HP.CH
Chamoli,IN.UT.CL
Champawat,IN.UT.CP
Champhai,IN.MZ.CH
Chamrajnagar,IN.KA.CJ
Chandauli,IN.UP.CD
Chandel,IN.MN.CD
Chandigarh,IN.CH.CH
Chandrapur,IN.MH.CH
Changlang,IN.AR.CH
Chatra,IN.JH.CH
Chennai,IN.TN.CH
Chhatarpur,IN.MP.CT
Chhindwara,IN.MP.CN
Chikmagalur,IN.KA.CK
Chitradurga,IN.KA.CT
Chitrakoot,IN.UP.CT
Chittoor,IN.AP.CH
Chittorgarh,IN.RJ.CT
Churachandpur,IN.MN.CC
Churu,IN.RJ.CR
Coimbatore,IN.TN.CO
Cuddalore,IN.TN.CU
Cuddapah,IN.AP.CU
Cuttack,IN.OR.CU
Dadra and Nagar Haveli,IN.DN.DN
Dahod,IN.GJ.DA
Dakshina Kannada,IN.KA.DK
Dakshin Dinajpur,IN.WB.DD
Daman,IN.DD.DA
Damoh,IN.MP.DM
Dantewada,IN.CT.DA
Darbhanga,IN.BR.DA
Darjeeling,IN.WB.DA
Darrang,IN.AS.DA
Datia,IN.MP.DT
Dausa,IN.RJ.DA
Davanagere,IN.KA.DA
Dehradun,IN.UT.DD
Delhi,IN.DL.DL
Deogarh,IN.OR.DE
Deoghar,IN.JH.DE
Deoria,IN.UP.DE
Dewas,IN.MP.DE
Dhalai,IN.TR.DH
Dhamtari,IN.CT.DH
Dhanbad,IN.JH.DH
Dhar,IN.MP.DH
Dharmapuri,IN.TN.DH
Dharwad,IN.KA.DH
Dhemaji,IN.AS.DM
Dhenkanal,IN.OR.DH
Dholpur,IN.RJ.DH
Dhubri,IN.AS.DB
Dhule,IN.MH.DH
Dibang Valley,IN.AR.DV
Dibrugarh,IN.AS.DI
Dimapur,IN.NL.DI
Dindigul,IN.TN.DI
Dindori,IN.MP.DI
Diu,IN.DD.DI
Doda,IN.JK.DO
Dumka,IN.JH.DU
Dungarpur,IN.RJ.DU
Durg,IN.CT.DU
East Garo Hills,IN.ML.EG
East Godavari,IN.AP.EG
East Imphal,IN.MN.EI
East Kameng,IN.AR.EK
East Khasi Hills,IN.ML.EK
East Nimar,IN.MP.EN
East Siang,IN.AR.ES
East Sikkim,IN.SK.ES
Ernakulam,IN.KL.ER
Erode,IN.TN.ER
Etah,IN.UP.ET
Etawah,IN.UP.EW
Faizabad,IN.UP.FZ
Faridabad,IN.HR.FR
Faridkot,IN.PB.FR
Farrukhabad,IN.UP.FR
Fatehabad,IN.HR.FT
Fatehgarh Sahib,IN.PB.FT
Fatehpur,IN.UP.FT
Firozabad,IN.UP.FI
Firozpur,IN.PB.FI
Gadag,IN.KA.GA
Gadchiroli,IN.MH.GA
Gajapati,IN.OR.GP
Gandhinagar,IN.GJ.GA
Ganganagar,IN.RJ.GA
Ganjam,IN.OR.GN
Garhwa,IN.JH.GA
Gautam Buddha Nagar,IN.UP.GB
Gaya,IN.BR.GA
Ghaziabad,IN.UP.GZ
Ghazipur,IN.UP.GP
Giridih,IN.JH.GI
Goalpara,IN.AS.GP
Godda,IN.JH.GO
Golaghat,IN.AS.GG
Gonda,IN.UP.GN
Gondiya,IN.MH.GO
Gopalganj,IN.BR.GO
Gorakhpur,IN.UP.GR
Gulbarga,IN.KA.GU
Gumla,IN.JH.GU
Guna,IN.MP.GU
Guntur,IN.AP.GU
Gurdaspur,IN.PB.GU
Gurgaon,IN.HR.GU
Gwalior,IN.MP.GW
Hailakandi,IN.AS.HA
Hamirpur,IN.HP.HA
Hamirpur,IN.UP.HM
Hanumangarh,IN.RJ.HA
Harda,IN.MP.HA
Hardoi,IN.UP.HR
Haridwar,IN.UT.HA
Hassan,IN.KA.HS
Hathras,IN.UP.HT
Haveri,IN.KA.HV
Hazaribagh,IN.JH.HA
Hingoli,IN.MH.HI
Hissar,IN.HR.HI
Hooghly,IN.WB.HG
Hoshangabad,IN.MP.HO
Hoshiarpur,IN.PB.HO
Howrah,IN.WB.HR
Hyderabad,IN.AP.HY
