State,District,Theft_2017,Theft_2018,Theft_2019,RegisteredUsers_2017,RegisteredUsers_2018,TransactionVolume_2018,RegisteredUsers_2019,TransactionVolume_2019,Population_2011,size_group
Himachal Pradesh,Solan,77.0,99.0,58.0,50035.0,139300.0,861752.0,220293.0,2365261.0,580320.0,1.0
Himachal Pradesh,Una,68.0,50.0,26.0,13234.0,40315.0,274785.0,68564.0,565375.0,521173.0,1.0
Jammu & Kashmir,Anantnag,98.0,57.0,42.0,11556.0,30103.0,284476.0,39513.0,211869.0,1078692.0,2.0
Jammu & Kashmir,Bandipore,23.0,28.0,25.0,4609.0,12419.0,217298.0,16451.0,99303.0,392232.0,1.0
Jammu & Kashmir,Baramulla,65.0,67.0,63.0,16299.0,45150.0,592196.0,59123.0,378947.0,,
Jammu & Kashmir,Budgam,110.0,113.0,123.0,11594.0,34255.0,291202.0,44636.0,304012.0,,
Jammu & Kashmir,Doda,31.0,11.0,8.0,2648.0,9896.0,41374.0,14537.0,61607.0,409936.0,1.0
Jammu & Kashmir,Ganderbal,36.0,34.0,39.0,4117.0,11236.0,142768.0,14573.0,107223.0,297446.0,1.0
Jammu & Kashmir,Jammu,448.0,441.0,573.0,45294.0,134408.0,565767.0,191031.0,1375442.0,1529958.0,3.0
Jammu & Kashmir,Kathua,64.0,78.0,49.0,8039.0,25620.0,129685.0,37300.0,199203.0,616435.0,1.0
Jammu & Kashmir,Kishtwar,11.0,20.0,6.0,1298.0,4732.0,18740.0,7124.0,31766.0,230696.0,1.0
Jammu & Kashmir,Kulgam,42.0,38.0,39.0,5700.0,16003.0,123607.0,21070.0,129520.0,424483.0,1.0
Jammu & Kashmir,Kupwara,39.0,25.0,44.0,7254.0,25544.0,118028.0,36690.0,177521.0,870354.0,2.0
Jammu & Kashmir,Poonch,23.0,37.0,26.0,2539.0,10838.0,4121826.0,16495.0,1995425.0,,
Jammu & Kashmir,Pulwama,33.0,38.0,53.0,8441.0,23230.0,199024.0,30796.0,180606.0,560440.0,1.0
Jammu & Kashmir,Rajouri,67.0,62.0,61.0,5232.0,19212.0,92396.0,28089.0,155677.0,642415.0,1.0
Jammu & Kashmir,Ramban,25.0,41.0,31.0,1876.0,7125.0,44759.0,10267.0,91062.0,283713.0,1.0
Jammu & Kashmir,Reasi,41.0,54.0,34.0,3583.0,11440.0,56602.0,16592.0,99098.0,314667.0,1.0
Jammu & Kashmir,Samba,52.0,51.0,75.0,6534.0,21495.0,108063.0,31570.0,153004.0,318898.0,1.0
Jammu & Kashmir,Shopian,63.0,73.0,61.0,2537.0,7625.0,32962.0,10313.0,45721.0,,
Jammu & Kashmir,Srinagar,362.0,329.0,281.0,18233.0,52762.0,438813.0,70755.0,1478361.0,1236829.0,2.0
Jammu & Kashmir,Udhampur,45.0,91.0,90.0,8457.0,25515.0,132494.0,35408.0,196807.0,554985.0,1.0
Jharkhand,Bokaro,253.0,579.0,723.0,101673.0,235969.0,3065145.0,352220.0,6026938.0,2062330.0,3.0
Jharkhand,Chatra,180.0,223.0,191.0,11805.0,38103.0,250490.0,67305.0,743254.0,1042886.0,2.0
