State,District,Theft_2017,Murder_2017,RegisteredUsers_2017,Theft_2018,Murder_2018,RegisteredUsers_2018,TransactionVolume_2018,Theft_2019,Murder_2019,RegisteredUsers_2019,TransactionVolume_2019,Theft_2022,Murder_2022,RegisteredUsers_2022,TransactionVolume_2022,Theft_2023,Murder_2023,RegisteredUsers_2023,TransactionVolume_2023
Bihar,Jehanabad,255.0,40.0,20394.0,353.0,47.0,56497.0,463220.0,362.0,46.0,92507.0,1049966.0,406.0,29.0,223724.0,9392653.0,523.0,27.0,263504.0,23692290.0
Bihar,Kaimur Bhabua,337.0,38.0,22464.0,420.0,63.0,66307.0,463448.0,432.0,40.0,111817.0,1078244.0,396.0,22.0,274984.0,9719716.0,552.0,38.0,324867.0,28855115.0
Bihar,Katihar,737.0,90.0,44233.0,731.0,94.0,124680.0,974220.0,622.0,89.0,213750.0,2423962.0,842.0,67.0,542563.0,32280008.0,960.0,68.0,639228.0,91114983.0
Bihar,Khagaria,231.0,56.0,25026.0,190.0,37.0,70139.0,494246.0,300.0,54.0,115815.0,1050337.0,377.0,63.0,296763.0,13311755.0,488.0,57.0,350637.0,37384068.0
Bihar,Kishanganj,320.0,39.0,16507.0,390.0,32.0,54620.0,331569.0,290.0,34.0,98189.0,837557.0,289.0,44.0,266604.0,14275856.0,310.0,28.0,313785.0,41578002.0
Bihar,Lakhisarai,84.0,51.0,18119.0,144.0,37.0,50294.0,351541.0,212.0,43.0,80730.0,733463.0,186.0,39.0,192835.0,7350608.0,253.0,31.0,226156.0,20344239.0
Bihar,Madhepura,315.0,64.0,26881.0,314.0,76.0,75876.0,564767.0,363.0,98.0,131288.0,1195387.0,741.0,73.0,345865.0,16771434.0,774.0,86.0,407185.0,49996458.0
Bihar,Madhubani,466.0,60.0,66664.0,427.0,76.0,195036.0,1294505.0,643.0,56.0,328630.0,3186481.0,837.0,68.0,828561.0,40624108.0,940.0,82.0,975263.0,103151801.0
Bihar,Munger,165.0,56.0,32219.0,206.0,45.0,84548.0,478839.0,206.0,38.0,131943.0,1107744.0,261.0,56.0,307956.0,11550015.0,312.0,43.0,360745.0,30059177.0
Bihar,Muzaffarpur,2731.0,151.0,125298.0,3049.0,142.0,309416.0,2789424.0,2952.0,162.0,498548.0,5950126.0,2852.0,140.0,1186500.0,64939338.0,3307.0,140.0,1391427.0,156485899.0
Bihar,Nalanda,847.0,95.0,75201.0,798.0,85.0,189924.0,2078306.0,905.0,113.0,294598.0,3818164.0,1218.0,75.0,694505.0,25132845.0,1476.0,99.0,814591.0,60217534.0
Bihar,Pashchim Champaran,596.0,72.0,67656.0,789.0,48.0,197074.0,1531433.0,834.0,77.0,334931.0,3618849.0,989.0,37.0,858644.0,45434727.0,955.0,61.0,1011106.0,128163005.0
Bihar,Patna,5445.0,268.0,425009.0,6635.0,296.0,964432.0,9464518.0,8040.0,337.0,1397342.0,51956124.0,9230.0,311.0,2988174.0,617072079.0,11584.0,299.0,3464540.0,362030277.0
Bihar,Purbi Champaran,1024.0,94.0,87561.0,1231.0,91.0,252394.0,1904136.0,1455.0,110.0,431458.0,4468397.0,2099.0,146.0,1133269.0,60457561.0,2258.0,155.0,1335289.0,175731582.0
Bihar,Purnea,500.0,91.0,0.0,442.0,80.0,0.0,0.0,636.0,113.0,0.0,0.0,1343.0,80.0,0.0,0.0,1497.0,75.0,0.0,0.0
Bihar,Rohtas,1108.0,100.0,64983.0,1149.0,96.0,174877.0,1718258.0,1189.0,86.0,278266.0,3305758.0,1069.0,62.0,664779.0,27185979.0,1394.0,105.0,782784.0,72677316.0
Bihar,Saharsa,363.0,44.0,32380.0,358.0,42.0,88171.0,637942.0,477.0,40.0,147506.0,1494901.0,519.0,37.0,372270.0,19621587.0,497.0,46.0,437160.0,54549253.0
Bihar,Samastipur,527.0,65.0,76068.0,636.0,83.0,204544.0,1469219.0,721.0,89.0,334935.0,3174321.0,1067.0,101.0,832148.0,41905361.0,916.0,85.0,980091.0,100852249.0
Bihar,Saran,1214.0,119.0,63245.0,1318.0,103.0,197928.0,1273060.0,1414.0,95.0,335039.0,3157641.0,1899.0,108.0,834739.0,41499866.0,1833.0,114.0,983188.0,101054156.0
Bihar,Sheikhpura,105.0,16.0,10567.0,160.0,17.0,29154.0,140573.0,137.0,21.0,47727.0,359800.0,234.0,14.0,117596.0,4134522.0,216.0,26.0,138218.0,10689099.0
Bihar,Sheohar,49.0,12.0,7645.0,73.0,14.0,21941.0,158610.0,70.0,11.0,37408.0,375800.0,83.0,12.0,97787.0,4882517.0,69.0,9.0,115405.0,14174229.0
Bihar,Sitamarhi,575.0,68.0,47288.0,855.0,77.0,132501.0,958201.0,855.0,73.0,223782.0,2177069.0,864.0,62.0,571721.0,35309209.0,1180.0,70.0,673400.0,71158381.0
