State,District,Theft_2017,Murder_2017,Cruelty_2017,Theft_2018,Murder_2018,Cruelty_2018,Theft_2019,Murder_2019,Cruelty_2019,Theft_2022,Murder_2022,Cruelty_2022,Theft_2023,Murder_2023,Cruelty_2023
Chandigarh,Chandigarh,1460.0,25.0,121.0,1298.0,20.0,93.0,908.0,26.0,177.0,1276.0,18.0,83.0,1412.0,17.0,76.0
Chhattisgarh,Balod,135.0,16.0,6.0,103.0,15.0,5.0,150.0,20.0,14.0,111.0,16.0,19.0,84.0,13.0,4.0
Chhattisgarh,Balodbazar,193.0,32.0,20.0,287.0,20.0,38.0,357.0,30.0,46.0,392.0,28.0,27.0,322.0,18.0,8.0
Chhattisgarh,Balrampur,45.0,41.0,11.0,35.0,50.0,6.0,71.0,37.0,12.0,114.0,56.0,23.0,89.0,49.0,14.0
Chhattisgarh,Bemetra,102.0,13.0,15.0,81.0,14.0,17.0,102.0,17.0,12.0,100.0,31.0,15.0,94.0,11.0,10.0
Chhattisgarh,Bilaspur,1026.0,58.0,69.0,819.0,57.0,67.0,793.0,48.0,89.0,1138.0,54.0,82.0,856.0,32.0,91.0
Chhattisgarh,Bizapur,5.0,24.0,0.0,10.0,32.0,0.0,7.0,33.0,1.0,24.0,36.0,4.0,13.0,34.0,1.0
Chhattisgarh,Dantewara,23.0,31.0,4.0,19.0,33.0,1.0,32.0,24.0,4.0,63.0,43.0,1.0,43.0,25.0,1.0
Chhattisgarh,Dhamtari,82.0,25.0,8.0,59.0,13.0,5.0,96.0,22.0,13.0,218.0,27.0,11.0,166.0,27.0,3.0
Chhattisgarh,Durg,728.0,38.0,63.0,646.0,44.0,49.0,781.0,35.0,115.0,924.0,39.0,134.0,754.0,47.0,115.0
Chhattisgarh,GRP Raipur,800.0,2.0,1.0,721.0,3.0,0.0,680.0,1.0,1.0,313.0,0.0,0.0,368.0,0.0,0.0
Chhattisgarh,Gariyaband,66.0,13.0,5.0,54.0,26.0,0.0,49.0,9.0,6.0,87.0,19.0,9.0,84.0,21.0,33.0
Chhattisgarh,Gaurela-Pendra-Marwari,,,,,,,,,,72.0,13.0,10.0,64.0,12.0,13.0
Chhattisgarh,Jagdalpur,56.0,36.0,9.0,53.0,26.0,7.0,117.0,33.0,4.0,133.0,27.0,6.0,93.0,25.0,9.0
Chhattisgarh,Janjgir,241.0,41.0,56.0,342.0,41.0,57.0,291.0,44.0,48.0,364.0,27.0,58.0,285.0,30.0,80.0
Chhattisgarh,Jashpur,70.0,50.0,5.0,83.0,47.0,4.0,103.0,64.0,4.0,200.0,64.0,12.0,168.0,71.0,6.0
Chhattisgarh,Kabirdham,50.0,19.0,14.0,74.0,20.0,20.0,56.0,29.0,17.0,142.0,22.0,36.0,107.0,21.0,17.0
Chhattisgarh,Kanker,166.0,29.0,8.0,108.0,29.0,8.0,149.0,45.0,5.0,64.0,27.0,5.0,64.0,40.0,9.0
Chhattisgarh,Khairagarh - Chhuikhadan-Gandai,,,,,,,,,,76.0,4.0,7.0,81.0,10.0,16.0
Chhattisgarh,Kondagaon,30.0,23.0,5.0,7.0,29.0,1.0,27.0,11.0,6.0,54.0,18.0,9.0,42.0,9.0,4.0
Chhattisgarh,Korba,220.0,38.0,46.0,297.0,41.0,22.0,268.0,46.0,35.0,365.0,45.0,46.0,363.0,36.0,24.0
Chhattisgarh,Koriya,119.0,36.0,28.0,74.0,30.0,20.0,88.0,34.0,28.0,73.0,13.0,15.0,55.0,22.0,12.0
Chhattisgarh,Mahasamund,165.0,23.0,12.0,157.0,20.0,6.0,132.0,12.0,16.0,162.0,22.0,1.0,101.0,18.0,4.0
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,,,,,,,,,,85.0,12.0,14.0,77.0,17.0,10.0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,,,,,,,,,,29.0,12.0,3.0,22.0,7.0,2.0
Chhattisgarh,Mungali,98.0,21.0,26.0,123.0,11.0,13.0,151.0,16.0,18.0,76.0,19.0,18.0,39.0,9.0,10.0
Chhattisgarh,Narayanpur,9.0,18.0,1.0,10.0,18.0,1.0,10.0,13.0,0.0,12.0,9.0,2.0,14.0,22.0,1.0
Chhattisgarh,Raigarh,215.0,54.0,26.0,398.0,68.0,28.0,370.0,67.0,36.0,528.0,68.0,23.0,496.0,65.0,10.0
Chhattisgarh,Raipur,1446.0,67.0,82.0,1492.0,59.0,83.0,1548.0,76.0,93.0,1966.0,75.0,180.0,1588.0,63.0,136.0
